# simtime date time IndoorTemp Av_Tair_at_facade Energyflux.toIndoor.sum  Energyflux.toIndoor.average Energyflux.Conduction.average Energyflux.SW.transmission.average Shortwave.availabe Shortwave.absorbed Longwave.available Longwave.emittedFacade Sensible.outside Vapour.fromGreening Vapour.fromSubstrate
10.02 15.07.2018 05.10.00 19.90746 288.6206 140.8515 0.4891 -0.4717 1.2810 491.6298 272.4400 323.3311 408.1399 -55.9107 0.0000 0.0000
20.02 15.07.2018 05.20.00 19.94723 289.3494 228.9492 0.7950 -0.8948 2.2531 882.9275 489.8507 327.1995 457.8618 -100.9613 0.0000 0.0000
30.03 15.07.2018 05.30.01 20.02447 290.1737 330.0758 1.1461 -1.4158 3.4158 1280.7622 711.0438 333.0914 520.3559 -154.1117 0.0000 0.0000
40.03 15.07.2018 05.40.01 20.14865 291.1035 442.8102 1.5375 -2.0505 4.7840 1210.1338 671.5717 340.9187 535.6511 -167.6679 0.0000 0.0000
50.03 15.07.2018 05.50.01 20.31637 291.7385 263.7928 0.9159 -2.7751 4.9214 1122.8575 623.0957 344.0156 540.0179 -174.6834 0.0000 0.0000
60.03 15.07.2018 06.00.01 20.42388 292.1788 146.6833 0.5093 -3.1029 4.8162 1030.3959 571.6921 345.7762 539.3567 -176.2983 0.0000 0.0000
70.03 15.07.2018 06.10.01 20.49227 292.4405 100.3224 0.3483 -3.1720 4.6938 990.1943 549.4142 346.9438 541.7256 -178.9149 0.0000 0.0000
80.03 15.07.2018 06.20.01 20.54760 292.7457 117.9867 0.4097 -3.1159 4.7007 949.0702 526.4806 348.4012 542.5311 -180.1033 0.0000 0.0000
90.03 15.07.2018 06.30.01 20.61318 293.0294 135.7502 0.4714 -3.0420 4.6845 906.8490 502.9051 349.6603 541.6054 -180.2639 0.0000 0.0000
100.03 15.07.2018 06.40.01 20.68978 293.3243 170.9179 0.5935 -2.9482 4.7222 880.7224 488.2382 351.0500 541.5538 -179.8183 0.0000 0.0000
110.03 15.07.2018 06.50.01 20.78356 293.6201 199.5561 0.6929 -2.8634 4.7417 856.1716 474.5321 352.3318 540.9683 -179.9146 0.0000 0.0000
120.03 15.07.2018 07.00.01 20.89227 293.9137 231.7337 0.8046 -2.7781 4.7770 831.7460 460.8874 353.6021 539.6401 -180.0937 0.0000 0.0000
130.03 15.07.2018 07.10.01 21.01672 294.2301 258.1422 0.8963 -2.7019 4.7976 815.6695 451.8735 355.0745 539.8802 -175.7050 0.0000 0.0000
140.03 15.07.2018 07.20.01 21.15481 294.5512 295.0404 1.0244 -2.6299 4.8724 799.6154 442.8304 356.7850 540.0612 -171.4180 0.0000 0.0000
150.03 15.07.2018 07.30.01 21.30972 294.8589 320.2221 1.1119 -2.5835 4.9272 782.6418 433.2508 358.4729 539.8826 -167.2886 0.0000 0.0000
160.03 15.07.2018 07.40.01 21.47720 295.1776 360.6831 1.2524 -2.5485 5.0678 770.7817 426.4634 360.5314 540.2977 -163.2138 0.0000 0.0000
170.03 15.07.2018 07.50.01 21.66204 295.5169 375.3584 1.3033 -2.5535 5.1424 757.6152 418.9461 362.3628 540.4781 -159.2196 0.0000 0.0000
180.03 15.07.2018 08.00.01 21.85430 295.8189 383.5588 1.3318 -2.5557 5.1833 742.9491 410.5549 364.0810 540.2022 -155.5886 0.0000 0.0000
190.03 15.07.2018 08.10.01 22.05157 296.0811 398.3333 1.3831 -2.5529 5.2479 727.6227 401.7900 366.0058 541.4000 -145.9478 0.0000 0.0000
200.03 15.07.2018 08.20.01 22.25536 296.4237 405.8903 1.4093 -2.5612 5.2940 711.5729 392.6055 367.8021 541.0259 -143.4583 0.0000 0.0000
210.03 15.07.2018 08.30.01 22.46331 296.7845 420.7655 1.4610 -2.5713 5.3764 695.5996 383.4380 369.3193 538.5351 -146.9160 0.0000 0.0000
220.03 15.07.2018 08.40.01 22.67751 297.0789 415.4051 1.4424 -2.5910 5.3779 681.4271 375.2634 370.6432 537.8121 -140.4741 0.0000 0.0000
230.03 15.07.2018 08.50.01 22.89077 297.3792 422.0232 1.4654 -2.5937 5.4120 667.2924 367.0857 372.0528 537.0451 -136.5106 0.0000 0.0000
240.03 15.07.2018 09.00.01 23.10723 297.7215 442.0777 1.5350 -2.6048 5.5198 653.3291 358.9522 373.7115 536.0870 -134.5043 0.0000 0.0000
250.03 15.07.2018 09.10.01 23.33126 297.9678 455.8966 1.5830 -2.6500 5.6440 635.8886 348.8601 375.5272 536.4488 -121.1812 0.0000 0.0000
260.03 15.07.2018 09.20.01 23.56078 298.2359 478.1633 1.6603 -2.7185 5.8384 619.5761 339.3926 377.2773 533.6947 -127.7420 0.0000 0.0000
270.03 15.07.2018 09.30.01 23.79897 298.0820 486.7000 1.6899 -2.8218 6.0157 602.6505 329.5669 378.5680 527.8107 -140.8518 0.0000 0.0000
280.03 15.07.2018 09.40.01 24.04034 298.3848 495.0248 1.7188 -2.9417 6.2141 589.0207 321.5509 380.0303 527.7683 -123.2114 0.0000 0.0000
290.03 15.07.2018 09.50.01 24.28524 298.6367 520.8125 1.8084 -3.0771 6.5140 577.2038 314.5478 381.7577 525.8008 -130.8109 0.0000 0.0000
300.03 15.07.2018 10.00.01 24.53912 298.6368 506.9767 1.7603 -3.2562 6.6887 563.0021 306.2082 382.8730 521.7285 -141.7000 0.0000 0.0000
310.03 15.07.2018 10.10.01 24.78741 298.8666 478.1432 1.6602 -3.4109 6.7616 552.4307 299.9685 383.9002 519.0271 -135.6957 0.0000 0.0000
320.03 15.07.2018 10.20.01 25.02435 299.0857 444.3896 1.5430 -3.5185 6.7487 540.1189 292.7491 384.8342 516.2530 -131.2975 0.0000 0.0000
330.03 15.07.2018 10.30.01 25.24764 299.2872 394.9763 1.3714 -3.5710 6.5899 525.4513 284.2300 385.1868 513.1149 -127.3739 0.0000 0.0000
340.03 15.07.2018 10.40.01 25.45275 299.4967 416.1324 1.4449 -3.5526 6.6634 515.4024 278.2365 386.1076 510.8572 -124.1223 0.0000 0.0000
350.03 15.07.2018 10.50.01 25.66424 299.6949 397.3957 1.3798 -3.5765 6.6085 502.8838 270.8576 386.8231 508.3803 -120.5885 0.0000 0.0000
360.03 15.07.2018 11.00.01 25.86770 299.8759 383.0775 1.3301 -3.5817 6.5491 489.7275 263.0996 387.4829 505.9530 -117.2617 0.0000 0.0000
370.03 15.07.2018 11.10.01 26.06472 299.9757 405.8386 1.4092 -3.5786 6.6504 476.3817 255.2797 388.4620 504.3681 -112.6271 0.0000 0.0000
380.03 15.07.2018 11.20.01 26.26843 300.0601 387.9711 1.3471 -3.6348 6.6426 461.1257 246.3950 389.3135 502.4940 -108.4973 0.0000 0.0000
390.03 15.07.2018 11.30.01 26.46414 300.1184 364.7117 1.2664 -3.6750 6.5884 445.2341 237.1652 389.9589 500.3553 -105.0207 0.0000 0.0000
400.03 15.07.2018 11.40.01 26.65020 300.1598 372.1536 1.2922 -3.6932 6.6473 432.3521 229.5754 390.8169 498.5349 -102.0306 0.0000 0.0000
410.03 15.07.2018 11.50.01 26.83718 300.1952 348.4407 1.2099 -3.7413 6.6015 417.7724 221.0466 391.4368 496.3458 -99.2525 0.0000 0.0000
420.03 15.07.2018 12.00.01 27.01394 300.2265 315.7265 1.0963 -3.7640 6.4804 401.4349 211.5197 391.8285 493.6673 -96.6706 0.0000 0.0000
430.03 15.07.2018 12.10.01 27.17755 300.4947 351.6146 1.2209 -3.7500 6.6279 388.7626 204.1048 392.7137 492.0368 -89.3005 0.0000 0.0000
440.03 15.07.2018 12.20.01 27.35443 300.6766 520.5410 1.8074 -3.8236 7.5080 385.1664 201.5808 393.2294 490.9232 -88.6901 0.0000 0.0000
450.03 15.07.2018 12.30.01 27.59377 300.7381 768.6036 2.6688 -4.2161 9.1798 391.9994 204.7152 393.5282 490.5481 -93.3364 0.0000 0.0000
