# simtime date time IndoorTemp Av_Tair_at_facade Energyflux.toIndoor.sum  Energyflux.toIndoor.average Energyflux.Conduction.average Energyflux.SW.transmission.average Shortwave.availabe Shortwave.absorbed Longwave.available Longwave.emittedFacade Sensible.outside Vapour.fromGreening Vapour.fromSubstrate
10.02 15.07.2018 05.10.00 20.05892 288.1772 2233.6719 9.7968 -1.3397 14.8487 226.2670 110.4412 322.2069 374.8877 -23.1071 0.0000 0.0000
20.02 15.07.2018 05.20.00 21.05221 288.9139 2571.4741 11.2784 -6.4808 23.6789 349.5208 169.7901 325.6652 385.3271 -31.9908 0.0000 0.0000
30.03 15.07.2018 05.30.01 22.22381 289.6540 2701.6167 11.8492 -12.0764 31.9008 451.1386 218.9426 329.9134 398.1145 -43.5985 0.0000 0.0000
40.03 15.07.2018 05.40.01 23.44256 290.3503 800.9740 3.5130 -17.5753 28.1177 385.4889 187.7835 334.4056 403.8404 -45.4320 0.0000 0.0000
50.03 15.07.2018 05.50.01 23.82714 290.7909 -246.0671 -1.0792 -18.6792 23.4666 537.6518 265.1275 336.5811 410.0276 -50.8229 0.0000 0.0000
60.03 15.07.2018 06.00.01 23.74398 291.2089 -771.0455 -3.3818 -17.4942 18.8166 570.0953 282.7434 338.3603 418.6498 -60.5667 0.0000 0.0000
70.03 15.07.2018 06.10.01 23.42285 291.4598 -883.4739 -3.8749 -15.2707 15.1944 535.1147 266.3286 339.7954 424.6929 -67.8763 0.0000 0.0000
80.03 15.07.2018 06.20.01 23.04266 291.7417 -936.8458 -4.1090 -12.9220 11.7507 501.9299 250.8566 341.3197 428.7744 -72.6875 0.0000 0.0000
90.03 15.07.2018 06.30.01 22.63192 292.0342 -920.3175 -4.0365 -10.5651 8.7048 469.8264 235.7291 343.0127 431.5702 -75.9177 0.0000 0.0000
100.03 15.07.2018 06.40.01 22.22283 292.3467 -886.5063 -3.8882 -8.3341 5.9279 447.3576 225.4354 344.9406 433.7857 -77.6548 0.0000 0.0000
110.03 15.07.2018 06.50.01 21.83157 292.6850 -538.0822 -2.3600 -6.2795 5.2260 462.8846 236.3731 347.3136 440.0813 -85.2674 0.0000 0.0000
120.03 15.07.2018 07.00.01 21.59527 293.0172 -232.4527 -1.0195 -5.0499 5.3738 460.7430 236.0654 349.2180 443.3704 -88.8790 0.0000 0.0000
130.03 15.07.2018 07.10.01 21.49438 293.3604 -93.6475 -0.4107 -4.4989 5.4509 465.1536 239.3328 351.0150 447.5297 -86.1492 0.0000 0.0000
140.03 15.07.2018 07.20.01 21.45709 293.7098 -4.2378 -0.0186 -4.2391 5.6273 470.0971 242.8417 352.8287 451.7660 -84.6926 0.0000 0.0000
150.03 15.07.2018 07.30.01 21.46179 294.0613 54.2942 0.2381 -4.1537 5.8558 477.2622 247.6413 354.7240 456.2036 -84.5923 0.0000 0.0000
160.03 15.07.2018 07.40.01 21.49462 294.4220 86.7377 0.3804 -4.1694 6.0665 488.6786 254.7886 356.5886 460.9688 -85.2501 0.0000 0.0000
170.03 15.07.2018 07.50.01 21.54424 294.7944 112.0911 0.4916 -4.2289 6.2941 498.9276 261.2220 358.5350 465.6009 -86.4420 0.0000 0.0000
180.03 15.07.2018 08.00.01 21.60717 295.1736 126.2596 0.5538 -4.3157 6.4927 574.0954 306.6287 360.4682 480.4436 -97.0367 0.0000 0.0000
190.03 15.07.2018 08.10.01 21.67861 295.5968 140.8345 0.6177 -4.4079 6.7009 575.8132 308.0022 362.5299 485.8800 -93.8558 0.0000 0.0000
200.03 15.07.2018 08.20.01 21.75829 295.8684 147.1976 0.6456 -4.5079 6.8714 592.4681 318.3674 364.4025 492.4134 -100.9123 0.0000 0.0000
210.03 15.07.2018 08.30.01 21.84280 296.0869 161.8277 0.7098 -4.5977 7.0767 591.9791 318.4191 366.3183 494.4582 -111.4977 0.0000 0.0000
220.03 15.07.2018 08.40.01 21.93542 296.2586 161.4290 0.7080 -4.6930 7.2014 592.5794 319.0275 368.2461 497.1367 -112.5138 0.0000 0.0000
230.03 15.07.2018 08.50.01 22.02993 296.5372 166.3932 0.7298 -4.7608 7.3208 592.4872 319.2247 370.2460 500.0028 -111.4662 0.0000 0.0000
240.03 15.07.2018 09.00.01 22.12899 296.9243 182.9465 0.8024 -4.8111 7.4847 591.6642 318.9502 372.4587 502.8084 -111.0716 0.0000 0.0000
250.03 15.07.2018 09.10.01 22.23773 297.0067 191.7364 0.8409 -4.8656 7.6088 586.9538 316.5184 374.0632 505.3184 -98.3815 0.0000 0.0000
260.03 15.07.2018 09.20.01 22.35272 297.6845 218.2344 0.9572 -4.9174 7.8327 582.9926 314.4620 375.5383 506.3238 -101.2289 0.0000 0.0000
270.03 15.07.2018 09.30.01 22.48205 297.6780 241.7015 1.0601 -4.9909 8.0680 578.4753 312.0620 376.5368 504.0659 -118.5177 0.0000 0.0000
280.03 15.07.2018 09.40.01 22.62466 297.8280 258.2845 1.1328 -5.0827 8.2874 576.0530 310.7721 378.4744 505.7618 -114.8608 0.0000 0.0000
290.03 15.07.2018 09.50.01 22.77676 298.0431 276.6198 1.2132 -5.1877 8.5345 573.4156 309.3319 380.9791 506.4225 -119.3625 0.0000 0.0000
300.03 15.07.2018 10.00.01 22.93868 298.0999 288.5984 1.2658 -5.3102 8.7680 569.4750 307.1201 382.9783 504.2594 -131.5064 0.0000 0.0000
310.03 15.07.2018 10.10.01 23.10729 298.3158 255.9712 1.1227 -5.4215 8.7255 567.1600 305.9279 383.9859 504.5297 -129.6709 0.0000 0.0000
320.03 15.07.2018 10.20.01 23.26351 298.5084 256.4779 1.1249 -5.4386 8.7513 565.1991 304.8961 385.2262 504.9603 -128.6279 0.0000 0.0000
330.03 15.07.2018 10.30.01 23.42092 298.7006 239.9452 1.0524 -5.4393 8.6555 561.2778 302.7806 386.2507 505.0405 -127.7393 0.0000 0.0000
340.03 15.07.2018 10.40.01 23.57253 298.9409 251.2409 1.1019 -5.3867 8.6515 559.4163 301.7595 387.2072 505.4234 -127.0613 0.0000 0.0000
