# simtime date time IndoorTemp Av_Tair_at_facade Energyflux.toIndoor.sum  Energyflux.toIndoor.average Energyflux.Conduction.average Energyflux.SW.transmission.average Shortwave.availabe Shortwave.absorbed Longwave.available Longwave.emittedFacade Sensible.outside Vapour.fromGreening Vapour.fromSubstrate
10.02 15.07.2018 05.10.00 19.90408 288.4212 111.2084 0.3861 -0.5282 1.2191 221.6562 111.1770 323.8479 371.7271 -18.0418 0.0311 0.0000
20.02 15.07.2018 05.20.00 19.96884 289.4807 4298.3052 14.9247 -1.1060 21.3742 462.4057 219.5496 329.6402 382.5885 -25.3266 0.1057 0.0000
30.03 15.07.2018 05.30.01 21.53085 290.6673 3316.8801 11.5169 -9.1185 27.5139 662.8239 316.5443 336.6934 399.8620 -38.9376 1.0371 0.0000
40.03 15.07.2018 05.40.01 22.73467 291.5134 751.5592 2.6096 -14.9163 23.3678 611.7410 294.1963 341.1813 415.0763 -51.1372 1.9214 0.0000
50.03 15.07.2018 05.50.01 23.02517 291.8207 -335.7578 -1.1658 -15.8275 19.5490 558.1906 269.9300 342.7715 423.5641 -61.1021 2.7308 0.0000
60.03 15.07.2018 06.00.01 22.91958 292.1196 -912.7342 -3.1692 -14.7405 15.4283 504.1436 245.4662 344.0389 429.0580 -68.5172 3.5018 0.0000
70.03 15.07.2018 06.10.01 22.60284 292.3094 -1008.0162 -3.5001 -12.6772 12.2362 476.0740 233.4332 345.1479 432.8277 -74.0086 4.2278 0.0000
80.03 15.07.2018 06.20.01 22.24572 292.5467 -993.0183 -3.4480 -10.5328 9.4464 452.8345 223.6906 346.7314 435.7858 -78.3293 4.9264 0.0000
90.03 15.07.2018 06.30.01 21.88876 292.8112 -959.8004 -3.3326 -8.4925 6.8798 431.9984 214.9765 348.3109 437.7181 -81.1335 5.6075 0.0000
100.03 15.07.2018 06.40.01 21.54019 293.1060 -894.4671 -3.1058 -6.5772 4.6286 420.2448 210.6258 350.0871 439.2154 -82.4574 6.2752 0.0000
