# simtime date time IndoorTemp Av_Tair_at_facade Energyflux.toIndoor.sum  Energyflux.toIndoor.average Energyflux.Conduction.average Energyflux.SW.transmission.average Shortwave.availabe Shortwave.absorbed Longwave.available Longwave.emittedFacade Sensible.outside Vapour.fromGreening Vapour.fromSubstrate
10.02 15.07.2018 05.10.00 19.85000 288.5862 0.0000 0.0000 0.0000 0.0000 430.4106 215.2053 325.5243 380.6363 -29.5859 0.0000 0.0000
20.02 15.07.2018 05.20.00 19.85000 289.3070 0.0000 0.0000 0.0000 0.0000 751.4252 375.7126 327.9349 398.7715 -46.2763 0.0000 0.0000
30.03 15.07.2018 05.30.01 19.85000 290.1727 0.0000 0.0000 0.0000 0.0000 1063.3395 531.6697 331.2522 425.2043 -68.9562 0.0000 0.0000
40.03 15.07.2018 05.40.01 19.85000 291.2492 0.0000 0.0000 0.0000 0.0000 980.0835 490.0417 335.2558 448.7884 -81.7533 0.0000 0.0000
50.03 15.07.2018 05.50.01 19.85000 292.1835 0.4299 0.0013 0.0013 0.0000 890.2202 445.1101 338.0070 463.8504 -87.2554 0.0000 0.0000
60.03 15.07.2018 06.00.01 19.85031 292.8165 0.6959 0.0021 0.0021 0.0000 800.6716 400.3358 340.1484 474.5189 -90.3940 0.0000 0.0000
70.03 15.07.2018 06.10.01 19.85110 293.0963 0.9995 0.0030 0.0030 0.0000 753.8485 376.9243 341.9950 482.4466 -93.1700 0.0000 0.0000
80.03 15.07.2018 06.20.01 19.85214 293.3611 2.1527 0.0066 0.0066 0.0000 709.5155 354.7577 344.2163 488.5636 -95.0859 0.0000 0.0000
90.03 15.07.2018 06.30.01 19.85397 293.5965 3.1035 0.0095 0.0095 0.0000 665.5147 332.7574 346.3630 492.6338 -95.9954 0.0000 0.0000
100.03 15.07.2018 06.40.01 19.85650 293.8472 4.0959 0.0125 0.0125 0.0000 634.1362 317.0681 348.5490 495.4903 -94.7350 0.0000 0.0000
110.03 15.07.2018 06.50.01 19.85980 294.1062 5.6945 0.0174 0.0174 0.0000 614.3450 307.1725 350.8923 497.6065 -93.8207 0.0000 0.0000
120.03 15.07.2018 07.00.01 19.86416 294.3692 7.4840 0.0228 0.0228 0.0000 552.4232 276.2116 353.1485 497.5020 -92.2993 0.0000 0.0000
130.03 15.07.2018 07.10.01 19.86981 294.7069 9.3340 0.0285 0.0285 0.0000 526.2082 263.1041 354.9793 496.2948 -89.1061 0.0000 0.0000
140.03 15.07.2018 07.20.01 19.87664 295.0537 11.0859 0.0338 0.0338 0.0000 502.1923 251.0961 357.0378 494.8762 -87.6251 0.0000 0.0000
150.03 15.07.2018 07.30.01 19.88464 295.3468 13.2934 0.0405 0.0405 0.0000 464.2090 232.1045 359.0715 492.4163 -86.4221 0.0000 0.0000
160.03 15.07.2018 07.40.01 19.89407 295.6579 15.0462 0.0459 0.0459 0.0000 432.0238 216.0119 361.2563 489.2017 -84.1206 0.0000 0.0000
170.03 15.07.2018 07.50.01 19.90472 295.9674 17.1699 0.0523 0.0523 0.0000 410.9122 205.4561 363.3686 485.9393 -81.7488 0.0000 0.0000
180.03 15.07.2018 08.00.01 19.91671 296.2386 19.1492 0.0584 0.0584 0.0000 406.1401 203.0700 365.2698 483.2785 -79.7545 0.0000 0.0000
190.03 15.07.2018 08.10.01 19.93014 296.4020 21.3513 0.0651 0.0651 0.0000 389.1447 194.5723 367.5791 480.7418 -78.5197 0.0000 0.0000
200.03 15.07.2018 08.20.01 19.94488 296.0651 23.1833 0.0707 0.0707 0.0000 383.4571 191.7286 369.8005 477.9940 -81.2682 0.0000 0.0000
210.03 15.07.2018 08.30.01 19.96090 296.1029 25.2184 0.0769 0.0769 0.0000 377.9552 188.9776 372.0629 475.2397 -84.8069 0.0000 0.0000
220.03 15.07.2018 08.40.01 19.97814 296.2255 27.1021 0.0826 0.0826 0.0000 362.8952 181.4476 374.2796 473.0379 -81.2933 0.0000 0.0000
230.03 15.07.2018 08.50.01 19.99670 296.3549 28.8562 0.0880 0.0880 0.0000 358.4621 179.2311 376.4278 470.8889 -80.3533 0.0000 0.0000
240.03 15.07.2018 09.00.01 20.01638 296.5051 30.4960 0.0930 0.0930 0.0000 335.9186 167.9593 378.4324 468.3942 -80.0360 0.0000 0.0000
250.03 15.07.2018 09.10.01 20.03713 296.8658 32.2458 0.0983 0.0983 0.0000 329.9296 164.9648 380.0632 467.0014 -70.8274 0.0000 0.0000
260.03 15.07.2018 09.20.01 20.05898 297.5314 33.6610 0.1026 0.1026 0.0000 326.3239 163.1620 381.7586 466.2760 -63.9768 0.0000 0.0000
270.03 15.07.2018 09.30.01 20.08178 298.4124 35.3655 0.1078 0.1078 0.0000 323.3845 161.6922 382.8817 465.7580 -60.2198 0.0000 0.0000
280.03 15.07.2018 09.40.01 20.10562 298.6999 36.5402 0.1114 0.1114 0.0000 321.2944 160.6472 384.7864 466.9221 -47.1470 0.0000 0.0000
290.03 15.07.2018 09.50.01 20.13027 298.2995 37.9071 0.1156 0.1156 0.0000 300.1150 150.0575 386.8021 465.6435 -56.2976 0.0000 0.0000
300.03 15.07.2018 10.00.01 20.15579 297.7569 39.0837 0.1192 0.1192 0.0000 299.6045 149.8023 388.0405 462.7862 -71.0701 0.0000 0.0000
310.03 15.07.2018 10.10.01 20.18212 298.0193 40.1257 0.1223 0.1223 0.0000 295.9243 147.9621 388.9100 461.6110 -66.9886 0.0000 0.0000
320.03 15.07.2018 10.20.01 20.20907 298.3327 41.2606 0.1258 0.1258 0.0000 293.6301 146.8150 390.1044 460.8589 -63.4087 0.0000 0.0000
