# simtime date time IndoorTemp Av_Tair_at_facade Energyflux.toIndoor.sum  Energyflux.toIndoor.average Energyflux.Conduction.average Energyflux.SW.transmission.average Shortwave.availabe Shortwave.absorbed Longwave.available Longwave.emittedFacade Sensible.outside Vapour.fromGreening Vapour.fromSubstrate
10.02 15.07.2018 05.10.00 19.85000 288.2808 0.0000 0.0000 0.0000 0.0000 41.8057 20.9029 327.7733 370.1045 -11.8967 0.0000 0.0000
20.02 15.07.2018 05.20.00 19.85000 288.9321 0.0000 0.0000 0.0000 0.0000 94.1350 47.0675 330.9830 370.4086 -9.1960 0.0000 0.0000
30.03 15.07.2018 05.30.01 19.85000 289.5199 0.0000 0.0000 0.0000 0.0000 254.0126 127.0063 335.2793 375.3099 -11.6932 0.0000 0.0000
40.03 15.07.2018 05.40.01 19.85000 290.0788 0.0000 0.0000 0.0000 0.0000 292.0628 146.0314 340.2461 382.8057 -16.5095 0.0000 0.0000
50.03 15.07.2018 05.50.01 19.85000 290.3429 0.0113 0.0001 0.0001 0.0000 311.7162 155.8581 343.1026 389.0934 -21.1789 0.0000 0.0000
60.03 15.07.2018 06.00.01 19.85000 290.7663 0.0536 0.0003 0.0003 0.0000 290.4385 145.2193 345.1444 394.0258 -24.7910 0.0000 0.0000
70.03 15.07.2018 06.10.01 19.85000 291.0299 0.1870 0.0009 0.0009 0.0000 310.1388 155.0694 346.8377 398.4630 -28.5765 0.0000 0.0000
80.03 15.07.2018 06.20.01 19.85018 291.3381 0.2303 0.0011 0.0011 0.0000 364.0803 182.0402 349.0061 404.1792 -33.3055 0.0000 0.0000
90.03 15.07.2018 06.30.01 19.85024 291.7181 0.1359 0.0006 0.0006 0.0000 376.9620 188.4810 351.0737 410.1159 -37.7650 0.0000 0.0000
100.03 15.07.2018 06.40.01 19.85024 292.0662 0.0981 0.0005 0.0005 0.0000 367.3044 183.6522 353.2175 414.9424 -41.2089 0.0000 0.0000
110.03 15.07.2018 06.50.01 19.85034 292.4269 0.2043 0.0010 0.0010 0.0000 374.6496 187.3248 355.5140 419.2211 -44.7132 0.0000 0.0000
120.03 15.07.2018 07.00.01 19.85076 292.7229 0.2553 0.0012 0.0012 0.0000 387.8575 193.9288 357.8173 423.4026 -49.2385 0.0000 0.0000
130.03 15.07.2018 07.10.01 19.85156 293.0817 0.2579 0.0012 0.0012 0.0000 401.6646 200.8323 359.5290 427.6123 -52.5263 0.0000 0.0000
140.03 15.07.2018 07.20.01 19.85247 293.4437 0.5519 0.0026 0.0026 0.0000 415.5887 207.7943 361.5936 431.8274 -55.5254 0.0000 0.0000
150.03 15.07.2018 07.30.01 19.85394 293.8134 0.7217 0.0034 0.0034 0.0000 427.2066 213.6033 363.7988 436.0035 -58.3294 0.0000 0.0000
160.03 15.07.2018 07.40.01 19.85580 294.1877 1.1873 0.0056 0.0056 0.0000 441.1104 220.5552 366.0913 440.2333 -60.7943 0.0000 0.0000
170.03 15.07.2018 07.50.01 19.85854 294.5722 1.6035 0.0076 0.0076 0.0000 453.1065 226.5532 368.2928 444.5079 -63.1025 0.0000 0.0000
180.03 15.07.2018 08.00.01 19.86208 294.9671 1.6558 0.0078 0.0078 0.0000 461.2267 230.6133 370.3149 448.6884 -65.0490 0.0000 0.0000
190.03 15.07.2018 08.10.01 19.86578 295.5647 2.1047 0.0099 0.0099 0.0000 471.3497 235.6749 372.8760 453.5374 -60.6537 0.0000 0.0000
200.03 15.07.2018 08.20.01 19.87032 296.7611 2.3102 0.0109 0.0109 0.0000 479.1549 239.5774 375.2323 459.1259 -52.6297 0.0000 0.0000
210.03 15.07.2018 08.30.01 19.87563 297.0192 2.7538 0.0130 0.0130 0.0000 486.2875 243.1437 377.6843 464.5335 -51.0458 0.0000 0.0000
220.03 15.07.2018 08.40.01 19.88168 297.2101 3.1454 0.0148 0.0148 0.0000 493.3533 246.6767 380.0470 470.1705 -47.5669 0.0000 0.0000
230.03 15.07.2018 08.50.01 19.88867 297.3664 3.5819 0.0169 0.0169 0.0000 499.3883 249.6942 382.3159 475.2265 -50.8667 0.0000 0.0000
240.03 15.07.2018 09.00.01 19.89642 297.1199 4.1376 0.0195 0.0195 0.0000 503.7531 251.8766 384.4450 479.0524 -61.3000 0.0000 0.0000
250.03 15.07.2018 09.10.01 19.90524 297.5037 4.6548 0.0220 0.0220 0.0000 503.1959 251.5979 386.1536 483.6312 -58.3278 0.0000 0.0000
260.03 15.07.2018 09.20.01 19.91506 299.9625 5.1781 0.0244 0.0244 0.0000 503.7300 251.8650 387.8453 486.7123 -63.7893 0.0000 0.0000
